"Title","SubTitle"
"Return Loss",""
"Parameter Name","Setting"
"Resolution:","259"
"CAL:","On"
"RF Immunity:","Low"
"Std:","GSM 1800 (^&_)"
"Date:","Monday, January 1, 0001"
"Time:","12:00:00 AM"
"Model:","S331D     "
"Serial:","1234235"
"Marker Data"
"Marker","Frequency(MHz)","Value"
"M1","1712.71313476563","23.6091212891626"
"M2","1878.217041","33.9794000867203"
"Limit On","Value: -18.00"
"Point Data"
"Frequency(MHz)","Return Loss"
"1710","26.6136623886777"
"1710.7783203125","25.6133742603254"
"1711.45654296875","24.671743057752"
"1712.03491210938","23.8357805415155"
"1712.71313476563","23.6091212891626"
"1713.49145507813","23.6222917081198"
"1714.16979980469","24.4514635522137"
"1714.748046875","25.481767354099"
"1715.42639160156","26.9744397200371"
"1716.10461425781","27.2102702146282"
"1716.88293457031","26.3751752524882"
"1717.56127929688","25.161218445416"
"1718.13952636719","24.3792612275773"
"1718.81787109375","23.9719257996529"
"1719.59606933594","24.4659763202317"
"1720.2744140625","25.5968139318808"
"1720.95275878906","26.9550731799335"
"1721.53100585938","27.9154789383105"
"1722.20935058594","27.2702420729326"
"1722.98754882813","25.6133742603254"
"1723.66589355469","24.3648925069506"
"1724.244140625","23.7283802286361"
"1724.92248535156","23.7017363744985"
"1725.60083007813","24.3505475166742"
"1726.37902832031","25.9859256570996"
"1727.05737304688","27.8938990771778"
"1727.63562011719","29.9241863388563"
"1728.31396484375","28.9710000405424"
"1729.09228515625","27.2302148609072"
"1729.7705078125","25.4329243595754"
"1730.34887695313","24.7764837368853"
"1731.02709960938","24.867277835083"
"1731.70544433594","25.7807376200944"
"1732.48376464844","27.1309464702762"
"1733.16198730469","29.1186391129944"
"1733.74035644531","29.4474019825732"
"1734.41857910156","27.9588001734407"
"1735.19689941406","25.8315819973057"
"1735.87524414063","24.5242711003761"
"1736.55346679688","23.9856584343523"
"1737.1318359375","24.3648925069506"
"1737.81005859375","25.3360546978686"
"1738.58837890625","27.2903250637017"
"1739.26672363281","28.8498559618868"
"1739.84497070313","28.3133755126493"
"1740.52331542969","26.6509409422009"
"1741.20153808594","24.9436713762345"
"1741.97985839844","24.0963082063515"
"1742.65808105469","23.6751740001643"
"1743.23645019531","24.5682503823748"
"1743.91467285156","25.6465899399547"
"1744.69299316406","27.1309464702762"
"1745.37133789063","28.0023385585262"
"1745.94958496094","27.3306308884082"
"1746.6279296875","25.8485964780412"
"1747.30615234375","24.4225105599452"
"1748.08447265625","23.8492994386229"
"1748.76281738281","23.8222826528037"
"1749.34106445313","24.3792612275773"
"1750.01940917969","25.5968139318808"
"1750.79772949219","26.7637462892547"
"1751.47595214844","27.5350141920419"
"1752.154296875","26.9164691624407"
"1752.73254394531","26.003245482655"
"1753.41088867188","25.2720699544671"
"1754.18908691406","24.8217621520405"
"1754.86743164063","24.8825028865501"
"1755.44567871094","25.4654558194685"
"1756.1240234375","25.916989663204"
"1756.80236816406","26.539581857422"
"1757.58056640625","26.8016759986029"
"1758.25891113281","26.5950829385175"
"1758.83715820313","26.4114420677576"
"1759.51550292969","26.3570984725233"
"1760.29382324219","26.0728722253333"
"1760.97204589844","26.1606979446527"
"1761.650390625","26.4296324191977"
"1762.22863769531","26.339059235223"
"1762.90698242188","26.2851652279547"
"1763.68530273438","26.4114420677576"
"1764.36352539063","26.2494207757073"
"1764.94189453125","26.4478609455901"
"1765.6201171875","26.2672746147541"
"1766.3984375","26.3932897317087"
"1767.07678222656","26.3210573849697"
"1767.75500488281","26.2851652279547"
"1768.33337402344","26.6136623886777"
"1769.01159667969","26.9357497244931"
"1769.78991699219","27.0133028257571"
"1770.46826171875","27.4731926524991"
"1771.04650878906","26.9164691624407"
"1771.72485351563","26.5027771852437"
"1772.40307617188","26.0379890875322"
"1773.18139648438","25.7134048050953"
"1773.85974121094","25.4654558194685"
"1774.43798828125","25.8146007804833"
"1775.11633300781","26.3210573849697"
"1775.89453125","27.3306308884082"
"1776.57287597656","27.555719540674"
"1777.25122070313","27.1507095951575"
"1777.82946777344","26.3030927671117"
"1778.5078125","25.4981095783706"
"1779.28601074219","24.5389061327147"
"1779.96435546875","24.4080701748435"
"1780.54260253906","24.7164773521933"
"1781.22094726563","25.0517638422715"
"1781.99926757813","26.1960783994297"
"1782.67749023438","26.8397720668577"
"1783.35583496094","27.3104545967853"
"1783.93408203125","26.4844331665183"
"1784.61242675781","25.7807376200944"
"1785.39074707031","25.2561471459052"
"1786.06896972656","25.0517638422715"
"1786.64733886719","25.0828960965254"
"1787.32556152344","25.5968139318808"
"1788.00390625","25.916989663204"
"1788.7822265625","25.9341724376267"
"1789.46044921875","25.3521248035406"
"1790.03881835938","24.7614432315894"
"1790.71704101563","24.3219284145453"
"1791.49536132813","24.3505475166742"
"1792.17358398438","24.7764837368853"
"1792.85192871094","25.7638554191761"
"1793.43017578125","27.2302148609072"
"1794.10852050781","27.2502054097497"
"1794.88684082031","26.8588829428579"
"1795.56506347656","25.3843544866722"
"1796.14343261719","24.2649715570887"
"1796.82165527344","23.9035864255767"
"1797.59997558594","24.2507905096317"
"1798.2783203125","25.0052736886187"
"1798.95654296875","26.5211600273182"
"1799.53491210938","28.612521807699"
"1800.21313476563","29.8698993519025"
"1800.99145507813","28.4043280676637"
"1801.66979980469","26.3570984725233"
"1802.248046875","25.0207427748767"
"1802.92639160156","24.2083857567114"
"1803.60461425781","24.4805133774126"
"1804.38293457031","25.2880220060364"
"1805.06127929688","26.725981492207"
"1805.63952636719","28.2682539065648"
"1806.31787109375","29.1434914608164"
